"ID_TEMPO","NU_ANO","NU_MES","NU_ANOMES","SG_MES","NM_MESANO","NM_MES","NU_DIA","DT_TEMPO","NU_HORA"
614,2007,3,200703,Mar,Mar/2007,Março    ,19,2007-03-19 00:00:00,16
615,2007,3,200703,Mar,Mar/2007,Março    ,19,2007-03-19 00:00:00,17
616,2007,3,200703,Mar,Mar/2007,Março    ,19,2007-03-19 00:00:00,18
617,2007,3,200703,Mar,Mar/2007,Março    ,20,2007-03-20 00:00:00,8
618,2007,3,200703,Mar,Mar/2007,Março    ,20,2007-03-20 00:00:00,9
619,2007,3,200703,Mar,Mar/2007,Março    ,20,2007-03-20 00:00:00,10
620,2007,3,200703,Mar,Mar/2007,Março    ,20,2007-03-20 00:00:00,11
621,2007,3,200703,Mar,Mar/2007,Março    ,20,2007-03-20 00:00:00,12
622,2007,3,200703,Mar,Mar/2007,Março    ,20,2007-03-20 00:00:00,13
623,2007,3,200703,Mar,Mar/2007,Março    ,20,2007-03-20 00:00:00,14
624,2007,3,200703,Mar,Mar/2007,Março    ,20,2007-03-20 00:00:00,15
625,2007,3,200703,Mar,Mar/2007,Março    ,20,2007-03-20 00:00:00,16
626,2007,3,200703,Mar,Mar/2007,Março    ,20,2007-03-20 00:00:00,17
1,2007,1,200701,Jan,Jan/2007,Janeiro  ,1,2007-01-01 00:00:00,8
2,2007,1,200701,Jan,Jan/2007,Janeiro  ,1,2007-01-01 00:00:00,9
3,2007,1,200701,Jan,Jan/2007,Janeiro  ,1,2007-01-01 00:00:00,10
4,2007,1,200701,Jan,Jan/2007,Janeiro  ,1,2007-01-01 00:00:00,11
5,2007,1,200701,Jan,Jan/2007,Janeiro  ,1,2007-01-01 00:00:00,12
6,2007,1,200701,Jan,Jan/2007,Janeiro  ,1,2007-01-01 00:00:00,13
7,2007,1,200701,Jan,Jan/2007,Janeiro  ,1,2007-01-01 00:00:00,14
8,2007,1,200701,Jan,Jan/2007,Janeiro  ,1,2007-01-01 00:00:00,15
9,2007,1,200701,Jan,Jan/2007,Janeiro  ,1,2007-01-01 00:00:00,16
10,2007,1,200701,Jan,Jan/2007,Janeiro  ,1,2007-01-01 00:00:00,17
11,2007,1,200701,Jan,Jan/2007,Janeiro  ,1,2007-01-01 00:00:00,18
12,2007,1,200701,Jan,Jan/2007,Janeiro  ,2,2007-01-02 00:00:00,8
13,2007,1,200701,Jan,Jan/2007,Janeiro  ,2,2007-01-02 00:00:00,9
14,2007,1,200701,Jan,Jan/2007,Janeiro  ,2,2007-01-02 00:00:00,10
15,2007,1,200701,Jan,Jan/2007,Janeiro  ,2,2007-01-02 00:00:00,11
16,2007,1,200701,Jan,Jan/2007,Janeiro  ,2,2007-01-02 00:00:00,12
17,2007,1,200701,Jan,Jan/2007,Janeiro  ,2,2007-01-02 00:00:00,13
18,2007,1,200701,Jan,Jan/2007,Janeiro  ,2,2007-01-02 00:00:00,14
19,2007,1,200701,Jan,Jan/2007,Janeiro  ,2,2007-01-02 00:00:00,15
20,2007,1,200701,Jan,Jan/2007,Janeiro  ,2,2007-01-02 00:00:00,16
21,2007,1,200701,Jan,Jan/2007,Janeiro  ,2,2007-01-02 00:00:00,17
